tmc,am_lottr,pm_lottr
129+04099,1.0566037735849056,1.207142857142857
129+04100,1.0571428571428572,1.3235294117647058
129+04101,1.027777777777778,1.2241379310344829
129+04102,1.1153846153846152,1.1851851851851851
129+04103,2.484076433121019,1.6810344827586208
129+04104,2.652173913043478,1.1724137931034484
129+04105,1.3924050632911393,1.1395348837209303
129+04106,1.3627118644067795,2.132530120481928
129+04107,1.25,2.0547945205479454
129+04108,1.3633333333333333,1.4758620689655173
129+04109,1.1650485436893203,1.1805555555555556
129+04110,1.24,1.1139240506329113
129+04111,1.1233766233766234,1.1428571428571428
129+04112,1.15,1.0
129+04113,1.054726368159204,1.0359712230215827
129+04114,1.102941176470588,1.0465116279069768
129+04115,1.0909090909090908,1.0
129+04116,2.6419753086419755,1.713815789473684
129+04117,2.15,1.5
129+04118,2.4285714285714284,1.2857142857142858
129+04119,2.0,1.24
129+04120,1.727272727272727,1.303225806451613
129+04121,1.4285714285714286,1.3289473684210527
129+04122,1.4634146341463414,1.3333333333333335
129+04123,1.1052631578947367,1.3442622950819672
129+04124,1.06,1.25
129+04125,1.0465116279069768,1.1627906976744187
129+04126,1.0434782608695652,1.2310756972111554
129+04127,1.0,1.2151898734177213
129+04128,1.0689655172413794,1.2499999999999998
129+04129,1.0434782608695652,1.2407407407407407
129+04130,1.076923076923077,1.2678571428571426
129+04131,1.164772727272727,1.2645914396887161
129+04132,2.0588235294117645,1.5454545454545456
129+04133,2.2682926829268295,1.3285714285714287
129+04134,2.0,1.2442396313364057
129+04135,1.0273972602739727,1.2109375
129+04136,1.0232558139534884,1.4639175257731958
129+04137,1.046728971962617,1.56
129+04138,1.0344827586206897,1.5588235294117647
129+04139,1.0301724137931036,1.345505617977528
129+04140,1.0344827586206897,1.4892086330935252
129+04141,1.0731707317073171,1.5575221238938055
129+04142,1.0264900662251655,1.7251908396946563
129+04143,1.02,1.2098765432098764
129+04144,1.0454545454545454,1.105263157894737
129+04145,1.125,1.0
129+04146,1.0540540540540542,1.0256410256410258
129+04178,1.0476190476190477,1.0264550264550265
129+04179,1.0469973890339426,1.0469973890339426
129+04180,1.0437956204379562,1.0437956204379562
129+04181,1.032258064516129,1.0666666666666667
129+04182,1.0457516339869282,1.0326797385620916
129+04183,1.04,1.04
129+04184,1.0531914893617023,1.032258064516129
129+04185,1.046875,1.046875
129+04186,1.051470588235294,1.044776119402985
129+04187,1.0450819672131146,1.0458333333333334
129+04188,1.047872340425532,1.0465753424657533
129+04189,1.030878859857482,1.030878859857482
129+04190,1.0484581497797356,1.0484581497797356
129+04191,2.1062499999999997,1.0333333333333334
129+04192,1.6016771488469603,1.0329670329670328
129+04193,1.2,1.0508474576271187
129+04194,1.271523178807947,1.0395833333333637
129+04195,1.5,1.0
129+04216,1.0483870967741935,1.046875
129+04243,1.028985507246377,1.4360313315926894
129+04244,1.0305343511450382,1.26265389876881
129+04245,1.0084033613445378,1.116504854368932
129+04246,1.0297619047619049,1.0864864864864863
129+04247,1.0555555555555556,1.025
129+04248,1.0714285714285714,1.0
129+04249,1.0,1.5
129+04250,1.0300751879699248,1.2
129+04251,1.029585798816568,1.1989247311827955
129+04252,1.0337837837837838,1.0696202531645569
129+04253,1.0337837837837838,1.0326797385620916
129+04254,1.028169014084507,1.027027027027027
129+04255,1.0526315789473684,1.0
129+04263,1.125,1.125
129+04264,1.0530973451327434,1.0530973451327434
129+04265,1.0208333333333333,1.0416666666666667
129+04266,1.0576923076923077,1.0943396226415094
129+04268,1.0909090909090908,1.0869565217391304
129+04269,1.0,1.0
129+04270,1.0263157894736843,1.051282051282051
129+04271,1.0169491525423728,1.0833333333333335
129+04272,1.6842105263157894,2.3518518518518516
129+04274,1.0441988950276242,1.0331491712707184
129+04275,1.030878859857482,1.0457831325301203
129+04276,1.029490616621984,1.0299727520435966
129+04277,1.0457142857142858,1.0285714285714287
129+04278,1.0454545454545454,1.0454545454545454
129+04279,1.0458715596330275,1.031055900621118
129+04280,1.0367647058823528,1.0367647058823528
129+04281,1.047872340425532,1.0319148936170213
129+04282,1.0440251572327044,1.0251572327044023
129+04283,1.02991452991453,1.02991452991453
129+04284,1.0305343511450382,1.062015503875969
129+04285,1.046875,1.03125
129+04286,1.036231884057971,1.036231884057971
129+04287,1.028169014084507,1.0434782608695652
129+04288,1.0318471337579618,1.0258064516129033
129+04289,1.0444444444444443,1.0393258426966292
129+04290,1.0294117647058825,1.0303030303030303
129+04291,1.1397058823529411,1.0461538461538462
129+04292,1.8089171974522291,1.0445205479452055
129+04293,1.3968749999999999,1.028268551236749
129+04294,1.1605839416058394,1.0725806451612905
129+04295,1.017241379310345,1.0454545454545456
129+04296,1.0384615384615385,1.111111111111111
129+04297,1.0481927710843375,1.1011904761904763
129+04298,1.0294117647058825,1.0294117647058825
129+04299,1.0292553191489362,1.045945945945946
129+04300,1.1148325358851676,1.0492610837438423
129+04301,1.9176470588235293,1.036144578313253
129+04302,1.3962264150943395,1.0485436893203883
129+04303,1.10126582278481,1.0480349344978166
129+04304,1.0485714285714285,1.063768115942029
129+04305,1.0434782608695652,1.0434782608695652
129+04306,1.074074074074074,1.074074074074074
129+04307,1.7614678899082568,1.2892561983471076
129+04308,1.0510204081632653,1.2291666666666667
129+04309,1.0509554140127388,1.3571428571428572
129+04310,1.045,1.2268518518518516
129+04311,1.028735632183908,1.106145251396648
129+04312,1.0555555555555556,2.05
129+04313,1.0285714285714287,1.5999999999999999
129+04314,1.0,1.5714285714285714
129+04315,1.027777777777778,1.2424242424242424
129+04316,1.0181818181818183,1.2686567164179103
129+04317,1.0272108843537415,1.7305389221556888
129+04318,1.0238095238095237,1.446808510638298
129+04319,1.0,1.0
129+04320,1.0310077519379846,1.0310077519379846
129+04321,1.0294117647058825,1.0294117647058825
129+04322,1.028673835125448,1.0436363636363637
129+04323,1.0301724137931036,1.0301724137931036
129+04324,1.033898305084746,1.0344827586206897
129+04325,1.0272727272727271,1.046296296296296
129+04327,1.1666666666666667,1.1666666666666667
129+04328,1.6666666666666667,1.2608695652173911
129+04329,1.0499999999999998,1.048780487804878
129+04331,1.0217391304347825,1.0217391304347825
129+04332,1.0204081632653061,1.0204081632653061
129+04333,1.0,1.0461538461538462
129+04334,1.0,1.0184049079754602
129+04335,1.0,1.0309278350515465
129+04336,1.0,1.0344827586206897
129+04337,1.0,1.0188679245283019
129+04338,1.0212765957446808,1.0
